Wafer,Wafernum,Device,stepped_1,RW,RMmm,DPR,Rn,Nf,RfE,RfEmm,d,Short_1,py,px,|p|,d2,Bias
SMA1,1,A1,1,5700,57,3,1,60,1800,18,12.1238571,0,20.1,-9.5,22.23195898,15.86804102,1
SMA1,1,A2,1,5700,57,3,2,60,1800,18,7.35085367,0,20.1,9.5,22.23195898,15.86804102,1
SMA1,1,A3,1,5700,57,3,3,60,1800,18,3.225080645,0,20.1,28.5,34.87491935,3.225080645,1
SMA1,1,B2,1,7100,71,5,2,50,3000,30,14.23140138,1,8.1,-7.1,10.77125805,27.32874195,1
SMA1,1,B3,1,7100,71,5,3,50,3000,30,9.433643413,0,8.1,7.1,10.77125805,27.32874195,1
SMA1,1,B4,1,7100,71,5,4,50,3000,30,5.330959733,0,8.1,21.3,22.78815482,15.31184518,1
SMA1,1,B5,1,7100,71,5,5,50,3000,30,1.687639461,0,8.1,35.5,36.41236054,1.687639461,1
SMA1,1,C1,1,7300,73,5,1,70,3700,37,21.73968215,0,1.1,-21.9,21.92760817,16.17239183,1
SMA1,1,C2,1,7300,73,5,2,70,3700,37,14.98918002,0,1.1,-7.3,7.38241153,30.71758847,1
SMA1,1,C3,1,7300,73,5,3,70,3700,37,9.805830989,1,1.1,7.3,7.38241153,30.71758847,1
SMA1,1,C5,1,7300,73,5,5,70,3700,37,1.583428419,0,1.1,36.5,36.51657158,1.583428419,1
SMA1,1,D2,1,7300,73,7,2,20,3600,36,18.47723625,1,2.1,-15.64285714,15.78318661,22.31681339,1
SMA1,1,D3,1,7300,73,7,3,20,3600,36,14.11303926,1,2.1,-5.214285714,5.621278814,32.47872119,1
SMA1,1,D5,1,7300,73,7,5,20,3600,36,7.180473114,1,2.1,15.64285714,15.78318661,22.31681339,1
SMA1,1,D6,1,7300,73,7,6,20,3600,36,4.242377942,1,2.1,26.07142857,26.15586718,11.94413282,1
SMA1,1,E1,1,6900,69,4,1,20,2600,26,17.02934505,0,12.1,-17.25,21.07065495,17.02934505,1
SMA1,1,E2,1,6900,69,4,2,20,2600,26,10.86885974,0,12.1,0,12.1,26,1
SMA1,1,E4,1,6900,69,4,4,20,2600,26,1.539638951,0,12.1,34.5,36.56036105,1.539638951,1
SMA1,1,F3,1,6600,66,4,3,70,2000,20,4.271609556,0,18.1,16.5,24.49203952,13.60796048,1
SMA1,1,F4,1,6600,66,4,4,70,2000,20,0.462120145,0,18.1,33,37.63787986,0.462120145,1
SMA1,1,A1,0,5700,57,3,1,60,1800,18,12.1238571,0,20.1,-9.5,22.23195898,15.86804102,1
SMA1,1,A2,0,5700,57,3,2,60,1800,18,7.35085367,0,20.1,9.5,22.23195898,15.86804102,1
